ticker,period,date,premium_discount_pct
RSP,previousYear,2025-06-08,0.023038
RSP,previousYear,2025-06-09,0.021799
RSP,previousYear,2025-06-10,-0.018058
RSP,previousYear,2025-06-11,-0.019635
RSP,previousYear,2025-06-12,0.006901
RSP,previousYear,2025-06-13,0.003632
RSP,previousYear,2025-06-14,0.003632
RSP,previousYear,2025-06-15,0.003632
RSP,previousYear,2025-06-16,0.010749
RSP,previousYear,2025-06-17,0.01108
RSP,previousYear,2025-06-18,-0.046901
RSP,previousYear,2025-06-19,-0.046901
RSP,previousYear,2025-06-20,-0.032267
RSP,previousYear,2025-06-21,-0.032267
RSP,previousYear,2025-06-22,-0.032267
RSP,previousYear,2025-06-23,0.03716
RSP,previousYear,2025-06-24,0.02554
RSP,previousYear,2025-06-25,0.052584
RSP,previousYear,2025-06-26,0.01678
RSP,previousYear,2025-06-27,0.027195
RSP,previousYear,2025-06-28,0.027195
RSP,previousYear,2025-06-29,0.027195
RSP,previousYear,2025-06-30,0.018188
RSP,previousYear,2025-07-01,-0.007199
RSP,previousYear,2025-07-02,0.00042
RSP,previousYear,2025-07-03,-0.040642
RSP,previousYear,2025-07-04,-0.040642
RSP,previousYear,2025-07-05,-0.040642
RSP,previousYear,2025-07-06,-0.040642
RSP,previousYear,2025-07-07,-0.009334
RSP,previousYear,2025-07-08,0.004268
RSP,previousYear,2025-07-09,-0.011121
RSP,previousYear,2025-07-10,0.003161
RSP,previousYear,2025-07-11,-0.006742
RSP,previousYear,2025-07-12,-0.006742
RSP,previousYear,2025-07-13,-0.006742
RSP,previousYear,2025-07-14,0.018045
RSP,previousYear,2025-07-15,-0.015354
RSP,previousYear,2025-07-16,0.006667
RSP,previousYear,2025-07-17,0.065137
RSP,previousYear,2025-07-18,-0.027753
RSP,previousYear,2025-07-19,-0.027753
RSP,previousYear,2025-07-20,-0.027753
RSP,previousYear,2025-07-21,-0.013717
RSP,previousYear,2025-07-22,-0.018257
RSP,previousYear,2025-07-23,-0.029106
RSP,previousYear,2025-07-24,0.066784
RSP,previousYear,2025-07-25,0.009518
RSP,previousYear,2025-07-26,0.009518
RSP,previousYear,2025-07-27,0.009518
RSP,previousYear,2025-07-28,-0.004577
RSP,previousYear,2025-07-29,0.009449
RSP,previousYear,2025-07-30,0.058199
RSP,previousYear,2025-07-31,-0.004758
RSP,previousYear,2025-08-01,0.007801
RSP,previousYear,2025-08-02,0.007801
RSP,previousYear,2025-08-03,0.007801
RSP,previousYear,2025-08-04,-0.040283
RSP,previousYear,2025-08-05,0.022712
RSP,previousYear,2025-08-06,0.012885
RSP,previousYear,2025-08-07,0.006965
RSP,previousYear,2025-08-08,0.011225
RSP,previousYear,2025-08-09,0.011225
RSP,previousYear,2025-08-10,0.011225
RSP,previousYear,2025-08-11,0.018064
RSP,previousYear,2025-08-12,-0.012881
RSP,previousYear,2025-08-13,0.010922
RSP,previousYear,2025-08-14,-0.021996
RSP,previousYear,2025-08-15,-0.013083
RSP,previousYear,2025-08-16,-0.013083
RSP,previousYear,2025-08-17,-0.013083
RSP,previousYear,2025-08-18,0.02361
RSP,previousYear,2025-08-19,-0.035292
RSP,previousYear,2025-08-20,-0.021015
RSP,previousYear,2025-08-21,-0.043266
RSP,previousYear,2025-08-22,0.000431
RSP,previousYear,2025-08-23,0.000431
RSP,previousYear,2025-08-24,0.000431
RSP,previousYear,2025-08-25,-0.008003
RSP,previousYear,2025-08-26,0.039209
RSP,previousYear,2025-08-27,0.058834
RSP,previousYear,2025-08-28,0.033528
RSP,previousYear,2025-08-29,0.044388
RSP,previousYear,2025-08-30,0.044388
RSP,previousYear,2025-08-31,0.044388
RSP,previousYear,2025-09-01,0.044388
RSP,previousYear,2025-09-02,-0.005682
RSP,previousYear,2025-09-03,-0.006096
RSP,previousYear,2025-09-04,-0.000203
RSP,previousYear,2025-09-05,0.015273
RSP,previousYear,2025-09-06,0.015273
RSP,previousYear,2025-09-07,0.015273
RSP,previousYear,2025-09-08,0.024693
RSP,previousYear,2025-09-09,-0.005476
RSP,previousYear,2025-09-10,0.005179
RSP,previousYear,2025-09-11,-0.012618
RSP,previousYear,2025-09-12,0.000905
RSP,previousYear,2025-09-13,0.000905
RSP,previousYear,2025-09-14,0.000905
